X,Y,Type,Item
0,0,WALKABLE,
1,0,WALKABLE,
2,0,WALKABLE,
3,0,WALKABLE,
4,0,WALKABLE,
5,0,WALKABLE,
6,0,WALKABLE,
7,0,WALKABLE,
8,0,WALKABLE,
9,0,WALKABLE,
10,0,WALKABLE,
11,0,WALKABLE,
12,0,WALKABLE,
13,0,WALKABLE,
14,0,WALKABLE,
15,0,WALKABLE,
16,0,WALKABLE,
17,0,WALKABLE,
18,0,WALKABLE,
19,0,WALKABLE,
20,0,WALKABLE,
21,0,WALKABLE,
22,0,WALKABLE,
23,0,WALKABLE,
24,0,WALKABLE,
25,0,WALKABLE,
26,0,WALKABLE,
27,0,WALKABLE,
28,0,WALKABLE,
29,0,WALKABLE,
30,0,WALKABLE,
0,1,WALKABLE,
1,1,OBSTACLE,1
2,1,OBSTACLE,1
3,1,WALKABLE,
4,1,OBSTACLE,2
5,1,OBSTACLE,2
6,1,WALKABLE,
7,1,OBSTACLE,3
8,1,OBSTACLE,3
9,1,WALKABLE,
10,1,OBSTACLE,4
11,1,OBSTACLE,4
12,1,WALKABLE,
13,1,OBSTACLE,5
14,1,OBSTACLE,5
15,1,WALKABLE,
16,1,OBSTACLE,6
17,1,OBSTACLE,6
18,1,WALKABLE,
19,1,OBSTACLE,7
20,1,OBSTACLE,7
21,1,WALKABLE,
22,1,OBSTACLE,8
23,1,OBSTACLE,8
24,1,WALKABLE,
25,1,OBSTACLE,9
26,1,OBSTACLE,9
27,1,WALKABLE,
28,1,OBSTACLE,10
29,1,OBSTACLE,10
30,1,WALKABLE,
0,2,WALKABLE,
1,2,OBSTACLE,1
2,2,OBSTACLE,1
3,2,WALKABLE,
4,2,OBSTACLE,2
5,2,OBSTACLE,2
6,2,WALKABLE,
7,2,OBSTACLE,3
8,2,OBSTACLE,3
9,2,WALKABLE,
10,2,OBSTACLE,4
11,2,OBSTACLE,4
12,2,WALKABLE,
13,2,OBSTACLE,5
14,2,OBSTACLE,5
15,2,WALKABLE,
16,2,OBSTACLE,6
17,2,OBSTACLE,6
18,2,WALKABLE,
19,2,OBSTACLE,7
20,2,OBSTACLE,7
21,2,WALKABLE,
22,2,OBSTACLE,8
23,2,OBSTACLE,8
24,2,WALKABLE,
25,2,OBSTACLE,9
26,2,OBSTACLE,9
27,2,WALKABLE,
28,2,OBSTACLE,10
29,2,OBSTACLE,10
30,2,WALKABLE,
0,3,WALKABLE,
1,3,OBSTACLE,1
2,3,OBSTACLE,1
3,3,WALKABLE,
4,3,OBSTACLE,2
5,3,OBSTACLE,2
6,3,WALKABLE,
7,3,OBSTACLE,3
8,3,OBSTACLE,3
9,3,WALKABLE,
10,3,OBSTACLE,4
11,3,OBSTACLE,4
12,3,WALKABLE,
13,3,OBSTACLE,5
14,3,OBSTACLE,5
15,3,WALKABLE,
16,3,OBSTACLE,6
17,3,OBSTACLE,6
18,3,WALKABLE,
